Item Branch G/L Category,Item-Branch Key,Item Branch Reorder Quantity,Short Name
700,ACCE,CR-10981,0,10981
701,ACCE,CR-10981,0,10981
702,ACCE,CR-10034,0,10034
703,ACCE,CR-10034,0,10034
704,SRCW,CR-10085,0,10085
705,SRCW,CR-10085,0,10085
706,SRCW,CR-10256,0,10256
707,SRCW,CR-10256,0,10256
708,TFAB,CR-10401,0,10401
709,TFAB,CR-10401,0,10401
710,AXLE,CR-10586,0,10586
711,AXLE,CR-10586,0,10586
712,TFAB,CR-10830,0,10830
713,TFAB,CR-10830,0,10830
714,SRCW,CR-10025,0,10025
715,SRCW,CR-10025,0,10025
716,SRCW,CR-10282,0,10282
717,SRCW,CR-10282,0,10282
718,AXLE,CR-10370,0,10370
719,AXLE,CR-10370,0,10370
720,AFAB,CR-10717,0,10717
721,AFAB,CR-10717,0,10717
722,TFAB,CR-10997,0,10997
723,TFAB,CR-10997,0,10997
724,SRCW,CR-10234,0,10234
725,SRCW,CR-10234,0,10234
726,SRCW,CR-10308,0,10308
727,SRCW,CR-10308,0,10308
728,TFAB,CR-10391,0,10391
729,TFAB,CR-10391,0,10391
730,TFAB,CR-10635,0,10635
731,TFAB,CR-10635,0,10635
732,ACCE,CR-10982,0,10982
733,ACCE,CR-10982,0,10982
734,SRCW,CR-10086,0,10086
735,SRCW,CR-10086,0,10086
736,SRCW,CR-10210,0,10210
737,SRCW,CR-10210,0,10210
738,AXLE,CR-10587,0,10587
739,AXLE,CR-10587,0,10587
740,AXLE,CR-10371,0,10371
741,AXLE,CR-10371,0,10371
742,AFAB,CR-10542,0,10542
743,AFAB,CR-10542,0,10542
744,TFAB,CR-10602,0,10602
745,TFAB,CR-10602,0,10602
746,SMWN,CR-10865,0,10865
747,SMWN,CR-10865,0,10865
748,TFAB,CR-10012,10000,10012
749,TFAB,CR-10012,10000,10012
750,SRCW,CR-10096,0,10096
751,SRCW,CR-10096,0,10096
752,SRCW,CR-10235,0,10235
753,SRCW,CR-10235,0,10235
754,TFAB,CR-10699,0,10699
755,TFAB,CR-10699,0,10699
756,ACCE,CR-10983,0,10983
757,ACCE,CR-10983,0,10983
758,SRCW,CR-10087,0,10087
759,SRCW,CR-10087,0,10087
760,ACCE,CR-10257,0,10257
761,ACCE,CR-10257,0,10257
762,ACCE,CR-10320,0,10320
763,ACCE,CR-10320,0,10320
764,AFAB,CR-10891,0,10891
765,AFAB,CR-10891,0,10891
766,SRCW,CR-10026,0,10026
767,SRCW,CR-10026,0,10026
